"region","data_center","dc_build_type","country","city","machine_room","cabinet","cabinet_business_status","cabinet_network_time","rated_power_watt","operation_status","customer","sales_power_watt"
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_205,Sold,"2021-10-18",8800,出租,Alibaba(France) SASU,8800
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_204,Sold,"2021-10-18",8800,出租,Alibaba(France) SASU,8800
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_203,Sold,"2018-10-12",8800,出租,Alibaba(France) SASU,8800
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_202,Sold,"2018-10-12",8800,出租,Alibaba(France) SASU,8800
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_201,Sold,"2018-10-12",8800,出租,Alibaba(France) SASU,8800
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_105,Sold,"2021-10-18",8800,出租,Alibaba(France) SASU,8800
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_104,Sold,"2021-10-18",8800,出租,Alibaba(France) SASU,8800
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_103,Sold,"2018-10-12",8800,出租,Alibaba(France) SASU,8800
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_102,Sold,"2018-10-12",8800,出租,Alibaba(France) SASU,8800
欧洲大区,Equinix_PA6,合作,法国,巴黎,Equinix_PA6-Room_1,Equinix_PA6-Room_1-Rack_101,Sold,"2018-10-12",8800,出租,Alibaba(France) SASU,8800
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG19,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG18,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG17,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG16,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG15,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG14,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG13,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG12,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG11,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG10,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG09,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BG08,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BB22,Sold,"2025-12-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BB21,Sold,"2025-12-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BB20,Sold,"2025-12-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BB19,Sold,"2025-12-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BB18,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BB17,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BB16,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BB15,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
东亚大区,Colt_Tokyo_Shiohama_Data_Centre,合作,日本,东京,Colt_Tokyo_Shiohama_Data_Centre-Room_3A,Colt_Tokyo_Shiohama_Data_Centre-Room_3A-03BB14,Sold,"2025-06-01",6000,出租,内蒙古捷算科技有限公司,4000
